WARD_NO,date,Temperature_Mean
152,10/1/2001,294.7674255
178,10/1/2001,294.7674255
173,10/1/2001,294.7674255
176,10/1/2001,294.7674255
2,1/1/2002,296.740509
3,1/1/2002,296.740509
4,1/1/2002,296.740509
51,1/1/2002,296.7484086
53,1/1/2002,296.7414783
54,1/1/2002,296.7623793
55,1/1/2002,296.8083208
56,1/1/2002,296.9262651
81,1/1/2002,296.9327087
87,1/1/2002,296.9327087
10,1/1/2002,296.740509
11,1/1/2002,296.740509
5,1/1/2002,296.740509
6,1/1/2002,296.740509
7,1/1/2002,296.740509
8,1/1/2002,296.740509
9,1/1/2002,296.740509
130,1/1/2002,297.3654314
159,1/1/2002,297.365448
40,1/1/2002,297.2064677
72,1/1/2002,297.36056
16,1/1/2002,296.740509
160,1/1/2002,296.9327087
17,1/1/2002,296.740509
37,1/1/2002,296.740509
38,1/1/2002,296.740509
42,1/1/2002,296.740509
69,1/1/2002,296.7406588
73,1/1/2002,296.9249233
12,1/1/2002,296.7426361
13,1/1/2002,296.740509
14,1/1/2002,296.9657388
15,1/1/2002,296.740509
39,1/1/2002,296.8384983
41,1/1/2002,296.801854
70,1/1/2002,296.7601636
71,1/1/2002,296.959913
102,1/1/2002,296.9327087
43,1/1/2002,296.740509
44,1/1/2002,296.740509
67,1/1/2002,296.7724239
68,1/1/2002,296.740509
74,1/1/2002,296.9327087
75,1/1/2002,296.8383435
35,1/1/2002,296.7539509
36,1/1/2002,296.740509
45,1/1/2002,296.740509
64,1/1/2002,296.7893618
65,1/1/2002,296.7858091
66,1/1/2002,296.740509
76,1/1/2002,296.8993216
18,1/1/2002,296.740509
19,1/1/2002,296.740509
20,1/1/2002,296.740509
21,1/1/2002,296.740509
22,1/1/2002,296.740509
33,1/1/2002,296.740509
34,1/1/2002,296.740509
46,1/1/2002,296.740509
31,1/1/2002,296.740509
32,1/1/2002,296.740509
47,1/1/2002,296.740509
48,1/1/2002,296.740509
60,1/1/2002,296.740509
61,1/1/2002,296.7543479
78,1/1/2002,296.9109759
23,1/1/2002,296.740509
168,1/1/2002,296.9327087
169,1/1/2002,296.9327087
179,1/1/2002,296.9327087
149,1/1/2002,296.8208236
150,1/1/2002,296.9327087
82,1/1/2002,296.9327087
83,1/1/2002,296.5839799
84,1/1/2002,296.720011
85,1/1/2002,296.9327087
174,1/1/2002,296.9327087
175,1/1/2002,296.9327087
186,1/1/2002,296.9327087
187,1/1/2002,296.9327087
188,1/1/2002,296.9327087
189,1/1/2002,296.9327087
190,1/1/2002,296.9327087
191,1/1/2002,296.9327087
193,1/1/2002,296.9327087
184,1/1/2002,296.9327087
185,1/1/2002,296.9327087
192,1/1/2002,296.9327087
194,1/1/2002,296.9327087
195,1/1/2002,296.9327087
196,1/1/2002,296.9327087
1,1/1/2002,296.740509
52,1/1/2002,296.740509
129,1/1/2002,297.0916806
170,1/1/2002,296.9327087
171,1/1/2002,296.9327087
183,1/1/2002,296.9327087
197,1/1/2002,296.9327087
177,1/1/2002,296.9327087
172,1/1/2002,296.9327087
26,1/1/2002,296.740509
25,1/1/2002,296.740509
86,1/1/2002,296.9327087
198,1/1/2002,297.1279063
24,1/1/2002,296.740509
27,1/1/2002,296.740509
28,1/1/2002,296.740509
29,1/1/2002,296.740509
30,1/1/2002,296.740509
49,1/1/2002,296.740509
59,1/1/2002,296.8408226
113,1/1/2002,296.9327087
50,1/1/2002,296.8405871
57,1/1/2002,296.9327087
58,1/1/2002,296.9327087
79,1/1/2002,296.9327087
80,1/1/2002,296.9327087
88,1/1/2002,296.9327087
110,1/1/2002,296.9327087
62,1/1/2002,296.740509
63,1/1/2002,296.9005355
90,1/1/2002,296.9327087
91,1/1/2002,296.9327087
92,1/1/2002,296.9327087
93,1/1/2002,296.9327087
111,1/1/2002,296.9327087
112,1/1/2002,296.9327087
114,1/1/2002,296.9327087
115,1/1/2002,296.9327087
116,1/1/2002,296.9327087
117,1/1/2002,296.9327087
89,1/1/2002,296.9327087
109,1/1/2002,296.9327087
120,1/1/2002,296.9327087
121,1/1/2002,296.9327087
77,1/1/2002,296.9163576
94,1/1/2002,296.9327087
