DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,10/1/2010,2550.141419,3594.522512
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,10/1/2010,2493.235125,4018.566289
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,10/1/2010,2930.337804,4594.597727
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,10/1/2010,3130.230083,4943.35245
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,10/1/2010,3187.578239,4669.063321
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,10/1/2010,2651.75761,3861.256933
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,10/1/2010,2674.899268,4238.338953
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,10/1/2010,2722.66403,4174.066533
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,10/1/2010,2983.379854,4609.999222
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,10/1/2010,3196.399764,5027.288577
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,10/1/2010,3271.941362,5217.09511
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,10/1/2010,3295.830022,5146.293236
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,10/1/2010,3013.961361,4720.982367
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,10/1/2010,2775.302459,4675.423935
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,10/1/2010,3033.908922,4862.265712
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,10/1/2010,2337.177715,4039.080854
